BARCODE,X1,Y1,X2,Y2,X3,Y3,X4,Y4
12D1065,409061.1822,3659520.627,409052.3789,3659520.737,409052.3899,3659521.757,409061.1944,3659521.639
12D1066,409052.3899,3659521.757,409052.4012,3659522.804,409061.2071,3659522.69,409061.1944,3659521.639
12D1067,409061.2071,3659522.69,409052.4012,3659522.804,409052.4115,3659523.752,409061.2186,3659523.64
12D1068,409052.4115,3659523.752,409052.4228,3659524.802,409061.2313,3659524.685,409061.2186,3659523.64
12D1069,409061.2313,3659524.685,409052.4228,3659524.802,409052.4336,3659525.796,409061.2433,3659525.679
12D1070,409052.4336,3659525.796,409052.4449,3659526.843,409061.256,3659526.731,409061.2433,3659525.679
Fill,409052.4449,3659526.843,409052.4558,3659527.852,409061.2682,3659527.74,409061.256,3659526.731
Fill,409051.7152,3659515.726,409042.8602,3659515.844,409042.8738,3659516.832,409051.7259,3659516.72
12D1071,409042.8738,3659516.832,409042.8882,3659517.872,409051.737,3659517.751,409051.7259,3659516.72
12D1072,409051.737,3659517.751,409042.8882,3659517.872,409042.9018,3659518.864,409051.7478,3659518.746
12D1073,409042.9018,3659518.864,409042.9156,3659519.864,409051.7586,3659519.745,409051.7478,3659518.746
12D1074,409051.7586,3659519.745,409042.9156,3659519.864,409042.9293,3659520.854,409051.7694,3659520.744
12D1075,409042.9293,3659520.854,409042.9435,3659521.884,409051.7804,3659521.766,409051.7694,3659520.744
12D1076,409051.7804,3659521.766,409042.9435,3659521.884,409042.9578,3659522.925,409051.7917,3659522.811
12D1077,409042.9578,3659522.925,409042.9709,3659523.872,409051.802,3659523.76,409051.7917,3659522.811
12D1078,409051.802,3659523.76,409042.9709,3659523.872,409042.9854,3659524.928,409051.8133,3659524.81
12D1079,409042.9854,3659524.928,409042.9991,3659525.92,409051.824,3659525.804,409051.8133,3659524.81
12D1080,409051.824,3659525.804,409042.9991,3659525.92,409043.0135,3659526.963,409051.8354,3659526.851
Fill,409043.0135,3659526.963,409043.0274,3659527.973,409051.8463,3659527.86,409051.8354,3659526.851
Fill,409033.4558,3659515.969,409033.4689,3659516.951,409042.2643,3659516.84,409042.2507,3659515.852
12D1081,409042.2643,3659516.84,409033.4689,3659516.951,409033.4829,3659518.001,409042.2787,3659517.881
12D1082,409033.4829,3659518.001,409033.496,3659518.99,409042.2924,3659518.872,409042.2787,3659517.881
12D1083,409042.2924,3659518.872,409033.496,3659518.99,409033.5094,3659519.992,409042.3061,3659519.873
12D1084,409033.5094,3659519.992,409033.5224,3659520.971,409042.3198,3659520.862,409042.3061,3659519.873
12D1085,409042.3198,3659520.862,409033.5224,3659520.971,409033.5363,3659522.01,409042.334,3659521.892
12D1086,409033.5363,3659522.01,409033.5501,3659523.046,409042.3483,3659522.933,409042.334,3659521.892
12D1087,409042.3483,3659522.933,409033.5501,3659523.046,409033.5626,3659523.991,409042.3614,3659523.88
12D1088,409033.5626,3659523.991,409033.5768,3659525.052,409042.3759,3659524.936,409042.3614,3659523.88
12D1089,409042.3759,3659524.936,409033.5768,3659525.052,409033.59,3659526.045,409042.3896,3659525.928
12D1090,409033.59,3659526.045,409033.6038,3659527.083,409042.404,3659526.971,409042.3896,3659525.928
Fill,409042.404,3659526.971,409033.6038,3659527.083,409033.6173,3659528.093,409042.4179,3659527.98
Fill,409024.0387,3659516.094,409024.051,3659517.071,409032.8594,3659516.959,409032.8463,3659515.977
12D1091,409032.8594,3659516.959,409024.051,3659517.071,409024.0643,3659518.13,409032.8734,3659518.009
12D1092,409024.0643,3659518.13,409024.0768,3659519.115,409032.8866,3659518.998,409032.8734,3659518.009
12D1093,409032.8866,3659518.998,409024.0768,3659519.115,409024.0894,3659520.119,409032.8999,3659520
12D1094,409024.0894,3659520.119,409024.1016,3659521.089,409032.9129,3659520.979,409032.8999,3659520
12D1095,409032.9129,3659520.979,409024.1016,3659521.089,409024.1149,3659522.137,409032.9268,3659522.019
12D1096,409024.1149,3659522.137,409024.1279,3659523.167,409032.9406,3659523.054,409032.9268,3659522.019
12D1097,409032.9406,3659523.054,409024.1279,3659523.167,409024.1398,3659524.111,409032.9532,3659523.999
12D1098,409024.1398,3659524.111,409024.1532,3659525.177,409032.9673,3659525.06,409032.9532,3659523.999
12D1099,409032.9673,3659525.06,409024.1532,3659525.177,409024.1657,3659526.169,409032.9805,3659526.053
12D1100,409024.1657,3659526.169,409024.1788,3659527.203,409032.9943,3659527.091,409032.9805,3659526.053
Fill,409032.9943,3659527.091,409024.1788,3659527.203,409024.1915,3659528.213,409033.0078,3659528.1
Fill,409014.6054,3659516.219,409014.6177,3659517.19,409023.4415,3659517.078,409023.4292,3659516.102
12D1101,409023.4415,3659517.078,409014.6177,3659517.19,409014.6312,3659518.259,409023.4548,3659518.138
12D1102,409014.6312,3659518.259,409014.6436,3659519.241,409023.4673,3659519.123,409023.4548,3659518.138
12D1103,409023.4673,3659519.123,409014.6436,3659519.241,409014.6562,3659520.247,409023.4799,3659520.128
12D1104,409014.6562,3659520.247,409014.6683,3659521.206,409023.4921,3659521.096,409023.4799,3659520.128
12D1105,409023.4921,3659521.096,409014.6683,3659521.206,409014.6817,3659522.263,409023.5054,3659522.145
12D1106,409014.6817,3659522.263,409014.6946,3659523.288,409023.5184,3659523.175,409023.5054,3659522.145
12D1107,409023.5184,3659523.175,409014.6946,3659523.288,409014.7065,3659524.231,409023.5303,3659524.119
12D1108,409014.7065,3659524.231,409014.72,3659525.303,409023.5437,3659525.185,409023.5303,3659524.119
12D1109,409014.72,3659525.303,409014.7325,3659526.294,409023.5562,3659526.177,409023.5437,3659525.185
12D1110,409023.5562,3659526.177,409014.7325,3659526.294,409014.7455,3659527.323,409023.5693,3659527.211
Fill,409014.7455,3659527.323,409014.7582,3659528.333,409023.582,3659528.221,409023.5693,3659527.211
Fill,409108.9717,3659529.139,409108.9877,3659530.158,409117.9897,3659530.04,409117.9762,3659529.019
12W1001,409108.9877,3659530.158,409109.0035,3659531.157,409118.0029,3659531.034,409117.9897,3659530.04
12W1002,409118.0029,3659531.034,409109.0035,3659531.157,409109.0199,3659532.2,409118.0167,3659532.077
12W1003,409109.0199,3659532.2,409109.0362,3659533.229,409118.0304,3659533.11,409118.0167,3659532.077
12W1004,409118.0304,3659533.11,409109.0362,3659533.229,409109.0519,3659534.226,409118.0435,3659534.105
12W1005,409109.0519,3659534.226,409109.0678,3659535.236,409118.0569,3659535.116,409118.0435,3659534.105
12W1006,409118.0569,3659535.116,409109.0678,3659535.236,409109.084,3659536.259,409118.0705,3659536.141
12W1007,409109.084,3659536.259,409109.0997,3659537.258,409118.0837,3659537.139,409118.0705,3659536.141
12W1008,409118.0837,3659537.139,409109.0997,3659537.258,409109.1156,3659538.262,409118.0969,3659538.138
12W1009,409109.1156,3659538.262,409109.1316,3659539.276,409118.1104,3659539.158,409118.0969,3659538.138
12W1010,409118.1104,3659539.158,409109.1316,3659539.276,409109.1478,3659540.304,409118.1239,3659540.178
