ID,x,y
174, 409110.170227, 3659516.927808
175, 409110.170227, 3659516.927808
176, 409110.170227, 3659516.927808
177, 409109.983430, 3659516.918452
178, 409109.983430, 3659516.918452
179, 409109.983430, 3659516.918452
180, 409109.983430, 3659516.918452
181, 409109.787298, 3659516.909184
182, 409109.787298, 3659516.909184
183, 409109.787298, 3659516.909184
184, 409109.787298, 3659516.909184
185, 409109.591167, 3659516.899915
186, 409109.591167, 3659516.899915
187, 409109.591167, 3659516.899915
188, 409109.591167, 3659516.899915
189, 409109.395138, 3659516.901733
190, 409109.395138, 3659516.901733
191, 409109.395138, 3659516.901733
192, 409109.395138, 3659516.901733
193, 409109.208649, 3659516.925638
194, 409109.208649, 3659516.925638
195, 409109.208649, 3659516.925638
196, 409109.208649, 3659516.925638
197, 409109.022058, 3659516.938456
198, 409109.022058, 3659516.938456
199, 409109.022058, 3659516.938456
200, 409109.022058, 3659516.938456
201, 409108.835467, 3659516.951274
202, 409108.835467, 3659516.951274
203, 409108.835467, 3659516.951274
204, 409108.835467, 3659516.951274
205, 409108.648773, 3659516.953006
206, 409108.648773, 3659516.953006
207, 409108.648773, 3659516.953006
208, 409108.648773, 3659516.953006
209, 409108.461976, 3659516.943651
210, 409108.461976, 3659516.943651
211, 409108.461976, 3659516.943651
212, 409108.461976, 3659516.943651
213, 409108.293848, 3659516.934122
214, 409108.293848, 3659516.934122
215, 409108.293848, 3659516.934122
216, 409108.293848, 3659516.934122
217, 409108.116592, 3659516.946854
218, 409108.116592, 3659516.946854
219, 409108.116592, 3659516.946854
220, 409108.116592, 3659516.946854
221, 409107.930001, 3659516.959672
222, 409107.930001, 3659516.959672
223, 409107.930001, 3659516.959672
224, 409107.930001, 3659516.959672
225, 409107.743409, 3659516.972490
226, 409107.743409, 3659516.972490
227, 409107.743409, 3659516.972490
228, 409107.743409, 3659516.972490
229, 409107.556715, 3659516.974222
230, 409107.556715, 3659516.974222
231, 409107.556715, 3659516.974222
232, 409107.556715, 3659516.974222
233, 409107.370021, 3659516.975953
234, 409107.370021, 3659516.975953
235, 409107.370021, 3659516.975953
236, 409107.370021, 3659516.975953
237, 409107.183224, 3659516.966598
238, 409107.183224, 3659516.966598
239, 409107.183224, 3659516.966598
240, 409107.183224, 3659516.966598
241, 409106.987196, 3659516.968416
242, 409106.987196, 3659516.968416
243, 409106.987196, 3659516.968416
244, 409106.987196, 3659516.968416
245, 409106.800604, 3659516.981235
246, 409106.800604, 3659516.981235
247, 409106.800604, 3659516.981235
248, 409106.800604, 3659516.981235
249, 409106.614013, 3659516.994053
250, 409106.614013, 3659516.994053
251, 409106.614013, 3659516.994053
252, 409106.614013, 3659516.994053
253, 409106.427216, 3659516.984698
254, 409106.427216, 3659516.984698
255, 409106.427216, 3659516.984698
256, 409106.427216, 3659516.984698
257, 409106.240522, 3659516.986429
258, 409106.240522, 3659516.986429
259, 409106.240522, 3659516.986429
260, 409106.240522, 3659516.986429
261, 409106.044493, 3659516.988247
262, 409106.044493, 3659516.988247
263, 409106.044493, 3659516.988247
264, 409106.044493, 3659516.988247
265, 409105.867134, 3659516.989892
266, 409105.867134, 3659516.989892
267, 409105.867134, 3659516.989892
268, 409105.867134, 3659516.989892
269, 409105.671208, 3659517.002797
270, 409105.671208, 3659517.002797
271, 409105.671208, 3659517.002797
272, 409105.671208, 3659517.002797
273, 409105.465845, 3659517.004702
274, 409105.465845, 3659517.004702
275, 409105.465845, 3659517.004702
276, 409105.465845, 3659517.004702
277, 409105.269713, 3659516.995433
278, 409105.269713, 3659516.995433
279, 409105.269713, 3659516.995433
280, 409105.269713, 3659516.995433
281, 409105.073684, 3659516.997251
282, 409105.073684, 3659516.997251
283, 409105.073684, 3659516.997251
284, 409105.073684, 3659516.997251
285, 409104.877655, 3659516.999069
286, 409104.877655, 3659516.999069
287, 409104.877655, 3659516.999069
288, 409104.877655, 3659516.999069
289, 409104.681627, 3659517.000888
290, 409104.681627, 3659517.000888
291, 409104.681627, 3659517.000888
292, 409104.681627, 3659517.000888
293, 409104.485598, 3659517.002706
294, 409104.485598, 3659517.002706
295, 409104.485598, 3659517.002706
296, 409104.485598, 3659517.002706
297, 409104.298904, 3659517.004437
298, 409104.298904, 3659517.004437
299, 409104.298904, 3659517.004437
300, 409104.298904, 3659517.004437
301, 409104.112313, 3659517.017256
302, 409104.112313, 3659517.017256
303, 409104.112313, 3659517.017256
304, 409104.112313, 3659517.017256
305, 409103.916284, 3659517.019074
306, 409103.916284, 3659517.019074
307, 409103.916284, 3659517.019074
308, 409103.916284, 3659517.019074
309, 409103.720255, 3659517.020892
310, 409103.720255, 3659517.020892
311, 409103.720255, 3659517.020892
312, 409103.720255, 3659517.020892
313, 409103.533458, 3659517.011537
314, 409103.533458, 3659517.011537
315, 409103.533458, 3659517.011537
316, 409103.533458, 3659517.011537
317, 409103.337429, 3659517.013355
318, 409103.337429, 3659517.013355
319, 409103.337429, 3659517.013355
320, 409103.337429, 3659517.013355
321, 409103.150735, 3659517.015087
322, 409103.150735, 3659517.015087
323, 409103.150735, 3659517.015087
324, 409103.150735, 3659517.015087
325, 409102.954707, 3659517.016905
326, 409102.954707, 3659517.016905
327, 409102.954707, 3659517.016905
328, 409102.954707, 3659517.016905
329, 409102.758678, 3659517.018723
330, 409102.758678, 3659517.018723
331, 409102.758678, 3659517.018723
332, 409102.758678, 3659517.018723
333, 409102.562649, 3659517.020541
334, 409102.562649, 3659517.020541
335, 409102.562649, 3659517.020541
336, 409102.562649, 3659517.020541
337, 409102.366620, 3659517.022359
338, 409102.366620, 3659517.022359
339, 409102.366620, 3659517.022359
340, 409102.366620, 3659517.022359
341, 409102.170694, 3659517.035264
342, 409102.170694, 3659517.035264
343, 409102.170694, 3659517.035264
344, 409102.170694, 3659517.035264
345, 409101.984103, 3659517.048083
346, 409101.984103, 3659517.048083
347, 409101.984103, 3659517.048083
348, 409101.984103, 3659517.048083
349, 409101.788177, 3659517.060988
350, 409101.788177, 3659517.060988
351, 409101.788177, 3659517.060988
352, 409101.788177, 3659517.060988
353, 409101.592148, 3659517.062806
354, 409101.592148, 3659517.062806
355, 409101.592148, 3659517.062806
356, 409101.592148, 3659517.062806
357, 409101.386579, 3659517.042537
358, 409101.386579, 3659517.042537
359, 409101.386579, 3659517.042537
360, 409101.386579, 3659517.042537
361, 409101.190448, 3659517.033268
362, 409101.190448, 3659517.033268
363, 409101.190448, 3659517.033268
364, 409101.190448, 3659517.033268
365, 409100.994419, 3659517.035087
366, 409100.994419, 3659517.035087
367, 409100.994419, 3659517.035087
368, 409100.994419, 3659517.035087
369, 409100.798493, 3659517.047992
370, 409100.798493, 3659517.047992
371, 409100.798493, 3659517.047992
372, 409100.798493, 3659517.047992
373, 409100.611799, 3659517.049723
374, 409100.611799, 3659517.049723
375, 409100.611799, 3659517.049723
376, 409100.611799, 3659517.049723
377, 409100.415873, 3659517.062628
378, 409100.415873, 3659517.062628
379, 409100.415873, 3659517.062628
380, 409100.415873, 3659517.062628
381, 409100.219947, 3659517.075533
382, 409100.219947, 3659517.075533
383, 409100.219947, 3659517.075533
384, 409100.219947, 3659517.075533
385, 409100.033253, 3659517.077265
386, 409100.033253, 3659517.077265
387, 409100.033253, 3659517.077265
388, 409100.033253, 3659517.077265
389, 409099.837121, 3659517.067996
