Row1		Row2		Row3		OffsetFromBar	Ash_AM	m
0.890000	1.700000	0.000000	0.000000
Left_GPS_X	Left_GPS_Y	Right_GPS_X	Right_GPS_Y
0.00	0.00	2.46	0.00
Index	Left_UTCTime 	Left_Latitude	Left_Longitude	Left_Elevation	Left_TI	Left_TS	Right_UTCTime	Right_Latitude	Right_Longitude	Right_Elevation	Right_TI	Right_TS	Write_TS
131846.982-14.0000000000	181841.6000000000	3907.9772409996	9637.1512049989	312.4300000000	78647.0000000000	78918.0000000000	181841.6000000000	3907.9771939996	9637.1494979989	312.3600000000	78649.0000000000	78858.0000000000	78649.0000000000
131847.251-15.0000000000	181841.8000000000	3907.9772409996	9637.1512039989	312.4200000000	78918.0000000000	79094.0000000000	181841.8000000000	3907.9771939996	9637.1494979989	312.3600000000	78858.0000000000	79066.0000000000	78918.0000000000
131847.427-16.0000000000	181842.0000000000	3907.9772399996	9637.1512049989	312.4200000000	79094.0000000000	79253.0000000000	181842.0000000000	3907.9771919996	9637.1494979989	312.3600000000	79066.0000000000	79273.0000000000	79094.0000000000
131847.606-17.0000000000	181842.2000000000	3907.9772399996	9637.1512049989	312.4200000000	79254.0000000000	79413.0000000000	181842.2000000000	3907.9771939996	9637.1494979989	312.3600000000	79273.0000000000	79481.0000000000	79273.0000000000
131847.814-18.0000000000	181842.4000000000	3907.9772399996	9637.1512069989	312.4200000000	79414.0000000000	79637.0000000000	181842.4000000000	3907.9771939996	9637.1494989989	312.3600000000	79481.0000000000	79690.0000000000	79481.0000000000
131848.023-19.0000000000	181842.6000000000	3907.9772399996	9637.1512069989	312.4300000000	79638.0000000000	79846.0000000000	181842.6000000000	3907.9771929996	9637.1494989989	312.3600000000	79690.0000000000	79897.0000000000	79690.0000000000
131848.230-20.0000000000	181842.8000000000	3907.9772389996	9637.1512069989	312.4200000000	79846.0000000000	80070.0000000000	181842.8000000000	3907.9771929996	9637.1494999989	312.3600000000	79897.0000000000	80105.0000000000	79897.0000000000
131848.438-21.0000000000	181843.0000000000	3907.9772389996	9637.1512059989	312.4200000000	80070.0000000000	80230.0000000000	181843.0000000000	3907.9771939996	9637.1494979989	312.3600000000	80105.0000000000	80201.0000000000	80105.0000000000
131848.563-22.0000000000	181843.2000000000	3907.9772399996	9637.1512069989	312.4200000000	80230.0000000000	80453.0000000000	181843.2000000000	3907.9771939996	9637.1494989989	312.3600000000	80201.0000000000	80410.0000000000	80230.0000000000
131848.786-23.0000000000	181843.4000000000	3907.9772409996	9637.1512059989	312.4200000000	80453.0000000000	80677.0000000000	181843.4000000000	3907.9771919996	9637.1494989989	312.3600000000	80410.0000000000	80617.0000000000	80453.0000000000
131849.010-24.0000000000	181843.6000000000	3907.9772399996	9637.1512059989	312.4200000000	80677.0000000000	80855.0000000000	181843.6000000000	3907.9771919996	9637.1494999989	312.3700000000	80617.0000000000	80855.0000000000	80677.0000000000
131849.188-25.0000000000	181843.8000000000	3907.9772399996	9637.1512059989	312.4200000000	80855.0000000000	81045.0000000000	181843.8000000000	3907.9771919996	9637.1494989989	312.3600000000	80855.0000000000	81033.0000000000	80855.0000000000
131849.378-26.0000000000	181844.0000000000	3907.9772409996	9637.1512059989	312.4200000000	81045.0000000000	81270.0000000000	181844.0000000000	3907.9771919996	9637.1494989989	312.3600000000	81033.0000000000	81241.0000000000	81045.0000000000
131849.603-27.0000000000	181844.2000000000	3907.9772399996	9637.1512059989	312.4200000000	81270.0000000000	81494.0000000000	181844.2000000000	3907.9771929996	9637.1494999989	312.3700000000	81241.0000000000	81449.0000000000	81270.0000000000
