utc_tstamp,longitude,latitude,heading,elevation
1438937020,-96.6191597,39.1328327,3.1695858279,312.29
1438937020.2,-96.6191598,39.1328327,3.1710892238,312.29
1438937020.4,-96.6191597,39.1328327,3.1703409339,312.29
1438937020.6,-96.6191598,39.1328327,3.1718617712,312.29
1438937020.8,-96.6191598,39.1328326,3.1718026816,312.29
1438937021,-96.6191598,39.1328326,3.1733422322,312.29
1438937021.2,-96.6191598,39.1328327,3.1725923645,312.28
1438937021.4,-96.6191597,39.1328326,3.1725747243,312.29
1438937021.6,-96.6191598,39.1328326,3.1733048103,312.29
1438937021.8,-96.6191598,39.1328326,3.1717436635,312.29
1438937022,-96.6191598,39.1328326,3.1733228652,312.29
1438937022.2,-96.6191598,39.1328327,3.1725923645,312.29
1438937022.4,-96.6191598,39.1328326,3.1733048106,312.29
1438937022.6,-96.6191597,39.1328327,3.1718211121,312.3
1438937022.8,-96.6191598,39.1328326,3.1733829093,312.3
1438937023,-96.6191598,39.1328327,3.1718617712,312.29
1438937023.2,-96.6191598,39.1328327,3.1726696725,312.29
1438937023.4,-96.6191598,39.1328327,3.1718026816,312.28
1438937023.6,-96.6191598,39.1328327,3.1718198827,312.28
1438937023.8,-96.6191598,39.1328327,3.1718617715,312.28
1438937024,-96.6191598,39.1328327,3.1718026812,312.29
1438937024.2,-96.6191598,39.1328327,3.1710892238,312.28
1438937024.4,-96.6191598,39.1328326,3.1725328339,312.28
1438937024.6,-96.6191598,39.1328326,3.1726100247,312.29
1438937024.8,-96.6191598,39.1328326,3.1725923645,312.29
1438937025,-96.6191598,39.1328326,3.1725923645,312.28
1438937025.2,-96.6191597,39.1328326,3.1726112869,312.29
1438937025.4,-96.6191598,39.1328327,3.1718617712,312.29
1438937025.6,-96.6191597,39.1328327,3.1718605401,312.3
1438937025.8,-96.6191598,39.1328326,3.1718198827,312.29
1438937026,-96.6191597,39.1328326,3.1725747243,312.29
1438937026.2,-96.6191597,39.1328326,3.1718211121,312.3
1438937026.4,-96.6191598,39.1328326,3.1733228652,312.3
1438937026.6,-96.6191597,39.1328327,3.1726507037,312.29
1438937026.8,-96.6191597,39.1328327,3.1726507037,312.29
1438937027,-96.6191597,39.1328327,3.1718026812,312.28
1438937027.2,-96.6191597,39.1328326,3.1726112869,312.29
1438937027.4,-96.6191598,39.1328327,3.1726100247,312.29
1438937027.6,-96.6191598,39.1328326,3.1711060298,312.29
1438937027.8,-96.6191598,39.1328327,3.1718790164,312.28
1438937028,-96.6191598,39.1328326,3.1726696725,312.29
1438937028.2,-96.6191598,39.1328326,3.1726519675,312.28
1438937028.4,-96.6191598,39.1328326,3.1733422322,312.3
1438937028.6,-96.6191598,39.1328326,3.1725923645,312.29
1438937028.8,-96.6191598,39.1328327,3.1726112869,312.29
1438937029,-96.6191598,39.1328327,3.1726289687,312.29
1438937029.2,-96.6191598,39.1328326,3.1733060996,312.29
1438937029.4,-96.6191598,39.1328326,3.1726100247,312.29
1438937029.6,-96.6191598,39.1328326,3.1725923645,312.29
1438937029.8,-96.6191598,39.1328326,3.1726519675,312.29
1438937030,-96.6191598,39.1328326,3.1734010292,312.29
1438937030.2,-96.6191598,39.1328326,3.1726100247,312.29
1438937030.4,-96.6191597,39.1328327,3.1717855001,312.29
1438937030.6,-96.6191598,39.1328327,3.1718026816,312.29
1438937030.8,-96.6191597,39.1328327,3.1733048103,312.29
1438937031,-96.6191598,39.1328327,3.1718617715,312.29
1438937031.2,-96.6191598,39.1328327,3.1718790168,312.28
1438937031.4,-96.6191598,39.1328327,3.1726100247,312.29
1438937031.6,-96.6191597,39.1328327,3.1718433159,312.29
1438937031.8,-96.6191598,39.1328327,3.1711060295,312.3
1438937032,-96.6191598,39.1328327,3.1726100247,312.29
1438937032.2,-96.6191598,39.1328327,3.1711060295,312.29
1438937032.4,-96.6191598,39.1328327,3.1726112869,312.3
1438937032.6,-96.6191598,39.1328327,3.1718790164,312.3
1438937032.8,-96.6191598,39.1328327,3.1726289687,312.29
1438937033,-96.6191597,39.1328327,3.1710724373,312.29
1438937033.2,-96.6191598,39.1328327,3.1703166413,312.28
1438937033.4,-96.6191598,39.1328327,3.1718383342,312.29
1438937033.6,-96.6191597,39.1328327,3.1725734651,312.28
1438937033.8,-96.6191597,39.1328326,3.1733829093,312.28
1438937034,-96.6191598,39.1328326,3.1733829093,312.28
1438937034.2,-96.6191598,39.1328326,3.1734611922,312.28
1438937034.4,-96.6191598,39.1328327,3.1726519675,312.3
1438937034.6,-96.6191598,39.1328327,3.1711479166,312.3
1438937034.8,-96.6191598,39.1328327,3.1718026812,312.3
1438937035,-96.6191598,39.1328327,3.1733060992,312.29
1438937035.2,-96.6191598,39.1328327,3.1733228648,312.29
1438937035.4,-96.6191598,39.1328327,3.1710892238,312.29
1438937035.6,-96.6191598,39.1328327,3.1726100247,312.29
1438937035.8,-96.6191598,39.1328327,3.1718383342,312.29
1438937036,-96.6191597,39.1328327,3.1718605401,312.29
1438937036.2,-96.6191598,39.1328327,3.1718198827,312.28
1438937036.4,-96.6191598,39.1328326,3.1725923645,312.29
1438937036.6,-96.6191598,39.1328327,3.1710892238,312.29
1438937036.8,-96.6191598,39.1328326,3.1710892242,312.3
1438937037,-96.6191598,39.1328326,3.1725328339,312.3
1438937037.2,-96.6191598,39.1328326,3.1703584744,312.29
1438937037.4,-96.6191598,39.1328326,3.1733648096,312.29
1438937037.6,-96.6191598,39.1328327,3.1733648092,312.29
1438937037.8,-96.6191598,39.1328327,3.1718026812,312.3
1438937038,-96.6191598,39.1328326,3.1726519675,312.29
1438937038.2,-96.6191597,39.1328326,3.1710138599,312.3
1438937038.4,-96.6191598,39.1328327,3.1733228648,312.29
1438937038.6,-96.6191598,39.1328327,3.174096564,312.29
1438937038.8,-96.6191598,39.1328327,3.1718790168,312.29
1438937039,-96.6191598,39.1328327,3.1726519675,312.29
1438937039.2,-96.6191598,39.1328327,3.1726519675,312.29
1438937039.4,-96.6191598,39.1328327,3.1725923645,312.3
1438937039.6,-96.6191598,39.1328327,3.1734204668,312.3
1438937039.8,-96.6191598,39.1328327,3.1726289687,312.3
1438937040,-96.6191598,39.1328327,3.1718962813,312.3
1438937040.2,-96.6191598,39.1328327,3.1725747243,312.3
1438937040.4,-96.6191598,39.1328326,3.1718198827,312.3
1438937040.6,-96.6191598,39.1328326,3.1710724377,312.3
1438937040.8,-96.6191598,39.1328326,3.1725747243,312.3
1438937041,-96.6191598,39.1328326,3.1726519675,312.3
1438937041.2,-96.6191598,39.1328326,3.1718026816,312.3
1438937041.4,-96.6191598,39.1328327,3.1710724373,312.3
1438937041.6,-96.6191597,39.1328327,3.1718605401,312.29
1438937041.8,-96.6191598,39.1328327,3.1718962817,312.29
1438937042,-96.6191598,39.1328327,3.1718026812,312.29
1438937042.2,-96.6191598,39.1328327,3.1703341769,312.29
1438937042.4,-96.6191598,39.1328326,3.1725328339,312.29
1438937042.6,-96.6191597,39.1328326,3.1718026816,312.29
1438937042.8,-96.6191598,39.1328326,3.1710306029,312.29
1438937043,-96.6191598,39.1328326,3.1725747243,312.29
1438937043.2,-96.6191598,39.1328326,3.1718198827,312.29
1438937043.4,-96.6191598,39.1328326,3.1733228648,312.29
1438937043.6,-96.6191598,39.1328326,3.1733422322,312.29
1438937043.8,-96.6191597,39.1328326,3.1725747243,312.28
1438937044,-96.6191598,39.1328326,3.1725923645,312.29
1438937044.2,-96.6191598,39.1328327,3.1740952423,312.29
1438937044.4,-96.6191598,39.1328327,3.1718211121,312.28
1438937044.6,-96.6191598,39.1328327,3.1740952426,312.28
1438937044.8,-96.6191598,39.1328327,3.174096564,312.28
1438937045,-96.6191598,39.1328327,3.1733648092,312.28
1438937045.2,-96.6191598,39.1328327,3.1748865351,312.28
1438937045.4,-96.6191598,39.1328326,3.1725923645,312.29
1438937045.6,-96.6191598,39.1328327,3.1726696725,312.29
1438937045.8,-96.6191598,39.1328326,3.1733829093,312.29
1438937046,-96.6191598,39.1328326,3.1719728611,312.29
1438937046.2,-96.6191598,39.1328326,3.1726696725,312.29
1438937046.4,-96.6191598,39.1328327,3.1719382226,312.3
1438937046.6,-96.6191598,39.1328326,3.1733648096,312.29
1438937046.8,-96.6191598,39.1328326,3.1726519675,312.29
1438937047,-96.6191598,39.1328326,3.1719555321,312.29
1438937047.2,-96.6191598,39.1328326,3.1726519675,312.3
1438937047.4,-96.6191598,39.1328326,3.1733648092,312.29
1438937047.6,-96.6191598,39.1328326,3.1718790168,312.29
1438937047.8,-96.6191598,39.1328326,3.1718790168,312.29
1438937048,-96.6191598,39.1328326,3.1726100247,312.29
1438937048.2,-96.6191598,39.1328326,3.1718198827,312.29
1438937048.4,-96.6191598,39.1328326,3.1733842029,312.29
1438937048.6,-96.6191598,39.1328326,3.1725923645,312.3
1438937048.8,-96.6191598,39.1328326,3.1718790168,312.29
1438937049,-96.6191598,39.1328326,3.1725923645,312.29
1438937049.2,-96.6191598,39.1328326,3.1733842029,312.3
1438937049.4,-96.6191598,39.1328326,3.1726100247,312.3
1438937049.6,-96.6191598,39.1328326,3.1734430265,312.3
1438937049.8,-96.6191598,39.1328327,3.1718617712,312.29
1438937050,-96.6191598,39.1328326,3.1726100247,312.3
