sensor_ID,utc_time,utc_date,channel_1_output,channel_2_output,channel_3_output,calculated_vi_1,calculated_vi_2
CCL_AC000259,161629.0,070515,0.05290,0.43770,0.10860,0.78500,0.60200
CCL_AC000304,161629.0,070515,0.05320,0.53780,0.11010,0.82000,3.88600
CCL_AC000259,161629.0,070515,0.05290,0.41850,0.10470,0.77600,0.60000
CCL_AC000304,161629.0,070515,0.05360,0.53620,0.10720,0.81800,4.00100
CCL_AC000259,161629.2,070515,0.05370,0.40910,0.10440,0.76800,0.59300
CCL_AC000304,161629.2,070515,0.05220,0.50240,0.10310,0.81200,3.87400
CCL_AC000259,161629.2,070515,0.05460,0.40430,0.10870,0.76200,0.57600
CCL_AC000304,161629.2,070515,0.05360,0.50370,0.09330,0.80800,4.40100
CCL_AC000259,161629.2,070515,0.05390,0.41130,0.10160,0.76800,0.60400
CCL_AC000304,161629.2,070515,0.05200,0.49900,0.09840,0.81100,4.07400
CCL_AC000259,161629.4,070515,0.05150,0.39750,0.10160,0.77100,0.59300
CCL_AC000304,161629.4,070515,0.05220,0.49930,0.09560,0.81100,4.22100
CCL_AC000259,161629.6,070515,0.05040,0.38190,0.09470,0.76700,0.60300
CCL_AC000304,161629.6,070515,0.05170,0.50480,0.09870,0.81400,4.11400
CCL_AC000259,161629.6,070515,0.05130,0.39120,0.10230,0.76800,0.58600
CCL_AC000304,161629.6,070515,0.05240,0.50520,0.09250,0.81200,4.45900
CCL_AC000259,161629.8,070515,0.05290,0.39900,0.09570,0.76600,0.61300
CCL_AC000304,161629.8,070515,0.05540,0.53320,0.10520,0.81200,4.06600
CCL_AC000259,161629.8,070515,0.05390,0.43310,0.11000,0.77900,0.59500
CCL_AC000304,161629.8,070515,0.05680,0.55910,0.11610,0.81600,3.81700
CCL_AC000259,161630.0,070515,0.05590,0.47870,0.12580,0.79100,0.58400
CCL_AC000304,161630.0,070515,0.05820,0.56070,0.12280,0.81200,3.56500
CCL_AC000259,161630.0,070515,0.05590,0.50290,0.11920,0.80000,0.61700
