BARCODE,X1,Y1,X2,Y2,X3,Y3,X4,Y4
15ASH20082,705778.2982,4334202.825,705778.2982,4334204.825,705778.6982,4334204.825,705778.6982,4334202.825
15ASH20083,705777.3373,4334202.054,705777.3373,4334204.054,705777.7373,4334204.054,705777.7373,4334202.054
15ASH20084,705776.6292,4334202.098,705776.6292,4334204.098,705777.0292,4334204.098,705777.0292,4334202.098
15ASH20085,705775.8269,4334202.701,705775.8269,4334204.701,705776.2269,4334204.701,705776.2269,4334202.701
15ASH20086,705775.1161,4334202.745,705775.1161,4334204.745,705775.5161,4334204.745,705775.5161,4334202.745
15ASH20087,705774.1865,4334202.005,705774.1865,4334204.005,705774.5865,4334204.005,705774.5865,4334202.005
15ASH20088,705773.4835,4334202.007,705773.4835,4334204.007,705773.8835,4334204.007,705773.8835,4334202.007
15ASH20089,705772.4667,4334202.742,705772.4667,4334204.742,705772.8667,4334204.742,705772.8667,4334202.742
15ASH20090,705771.7609,4334202.771,705771.7609,4334204.771,705772.1609,4334204.771,705772.1609,4334202.771
15ASH20091,705770.8809,4334202.657,705770.8809,4334204.657,705771.2809,4334204.657,705771.2809,4334202.657
15ASH20092,705770.1721,4334202.46,705770.1721,4334204.46,705770.5721,4334204.46,705770.5721,4334202.46
15ASH20093,705769.3521,4334202.676,705769.3521,4334204.676,705769.7521,4334204.676,705769.7521,4334202.676
15ASH20094,705768.651,4334202.703,705768.651,4334204.703,705769.051,4334204.703,705769.051,4334202.703
15ASH20095,705767.7153,4334201.961,705767.7153,4334203.961,705768.1153,4334203.961,705768.1153,4334201.961
15ASH20096,705767.003,4334201.965,705767.003,4334203.965,705767.403,4334203.965,705767.403,4334201.965
15ASH20097,705766.1411,4334202.747,705766.1411,4334204.747,705766.5411,4334204.747,705766.5411,4334202.747
15ASH20098,705765.4313,4334202.843,705765.4313,4334204.843,705765.8313,4334204.843,705765.8313,4334202.843
15ASH20099,705764.4293,4334201.865,705764.4293,4334203.865,705764.8293,4334203.865,705764.8293,4334201.865
15ASH20100,705763.7202,4334201.833,705763.7202,4334203.833,705764.1202,4334203.833,705764.1202,4334201.833
15ASH20101,705762.8989,4334202.605,705762.8989,4334204.605,705763.2989,4334204.605,705763.2989,4334202.605
15ASH20102,705762.197,4334202.674,705762.197,4334204.674,705762.597,4334204.674,705762.597,4334202.674
15ASH20103,705761.2275,4334201.873,705761.2275,4334203.873,705761.6275,4334203.873,705761.6275,4334201.873
15ASH20104,705760.5183,4334201.863,705760.5183,4334203.863,705760.9183,4334203.863,705760.9183,4334201.863
15ASH20105,705759.6727,4334202.562,705759.6727,4334204.562,705760.0727,4334204.562,705760.0727,4334202.562
15ASH20106,705758.9626,4334202.668,705758.9626,4334204.668,705759.3626,4334204.668,705759.3626,4334202.668
15ASH20107,705758.0446,4334201.927,705758.0446,4334203.927,705758.4446,4334203.927,705758.4446,4334201.927
15ASH20108,705757.3337,4334201.938,705757.3337,4334203.938,705757.7337,4334203.938,705757.7337,4334201.938
15ASH20144,705757.3157,4334198.547,705757.3157,4334200.547,705757.7157,4334200.547,705757.7157,4334198.547
15ASH20143,705758.0235,4334198.557,705758.0235,4334200.557,705758.4235,4334200.557,705758.4235,4334198.557
15ASH20142,705758.9962,4334199.285,705758.9962,4334201.285,705759.3962,4334201.285,705759.3962,4334199.285
15ASH20141,705759.7041,4334199.272,705759.7041,4334201.272,705760.1041,4334201.272,705760.1041,4334199.272
15ASH20140,705760.6126,4334198.624,705760.6126,4334200.624,705761.0126,4334200.624,705761.0126,4334198.624
15ASH20139,705761.3212,4334198.652,705761.3212,4334200.652,705761.7212,4334200.652,705761.7212,4334198.652
15ASH20138,705762.2818,4334199.327,705762.2818,4334201.327,705762.6818,4334201.327,705762.6818,4334199.327
15ASH20137,705762.9907,4334199.25,705762.9907,4334201.25,705763.3907,4334201.25,705763.3907,4334199.25
15ASH20136,705763.7762,4334198.615,705763.7762,4334200.615,705764.1762,4334200.615,705764.1762,4334198.615
15ASH20135,705764.4852,4334198.613,705764.4852,4334200.613,705764.8852,4334200.613,705764.8852,4334198.613
15ASH20134,705765.4889,4334199.308,705765.4889,4334201.308,705765.8889,4334201.308,705765.8889,4334199.308
15ASH20133,705766.1947,4334199.242,705766.1947,4334201.242,705766.5947,4334201.242,705766.5947,4334199.242
15ASH20132,705767.0757,4334198.78,705767.0757,4334200.78,705767.4757,4334200.78,705767.4757,4334198.78
15ASH20131,705767.7908,4334198.658,705767.7908,4334200.658,705768.1908,4334200.658,705768.1908,4334198.658
15ASH20130,705768.6566,4334199.367,705768.6566,4334201.367,705769.0566,4334201.367,705769.0566,4334199.367
